lead_id,month,year,state,numberOfCalls,callTimeMinute
1067,5,2019,Arkansas,1,0.12
1068,5,2019,Arkansas,3,0.77
1069,5,2019,Arkansas,1,0.05
1070,5,2019,Missouri,1,0.48
1071,4,2019,Arkansas,9,1.47
1072,4,2019,Missouri,3,0.23
1073,4,2019,Oklahoma,1,0.22
1074,4,2019,Arkansas,1,0.52
1075,4,2019,Arkansas,2,0.20
1076,4,2019,Arkansas,4,0.63
1077,4,2019,Arkansas,22,125.50
1078,4,2019,TX,1,0.70
1079,4,2019,Oklahoma,2,0.10
1080,4,2019,Missouri,1,1.00
1081,4,2019,Arkansas,3,1.08
1082,4,2019,Missouri,3,0.72
1083,4,2019,Missouri,4,0.75
1084,4,2019,Arkansas,9,2.83
1085,4,2019,Arkansas,1,0.83
1086,4,2019,Missouri,9,2.57
1087,4,2019,Arkansas,1,0.48
1088,4,2019,Missouri,3,0.83
1089,4,2019,Arkansas,1,0.03
1090,4,2019,Missouri,3,0.43
1091,4,2019,Missouri,3,0.17
1092,3,2019,Missouri,5,0.75
1093,3,2019,Arkansas,2,0.22
1094,3,2019,Missouri,2,0.05
1095,3,2019,Missouri,7,5.80
1096,3,2019,Arkansas,1,0.07
1097,3,2019,,5,0.63
1098,3,2019,Missouri,1,0.08
1099,3,2019,Arkansas,4,2.57
1100,3,2019,Arkansas,1,0.98
1101,3,2019,Arkansas,12,4.53
1102,3,2019,Missouri,2,0.10
1103,3,2019,Arkansas,4,6.28
1104,3,2019,Arkansas,5,0.92
1105,3,2019,Arkansas,4,0.68
1106,2,2019,Arkansas,1,0.07
1107,2,2019,Missouri,2,0.52
1108,2,2019,Arkansas,1,0.05
1109,2,2019,Missouri,1,1.10
1110,2,2019,Missouri,3,1.10
1111,2,2019,Arkansas,40,425.60
1112,2,2019,,1,0.12
1113,2,2019,,2,3.33
1114,2,2019,,1,0.33
1115,1,2019,Missouri,3,0.18
1116,1,2019,,1,0.48
1117,1,2019,Missouri,3,0.67
1118,1,2019,Oklahoma,2,0.73
1119,1,2019,Arkansas,1,0.38
1120,1,2019,Missouri,1,0.30
1121,1,2019,Missouri,2,4.72
1122,1,2019,Missouri,3,0.55
1123,1,2019,Arkansas,1,0.08
1124,1,2019,Arkansas,2,0.08
1125,1,2019,Arkansas,10,5.38
1126,1,2019,Arkansas,3,2.58
1127,1,2019,Missouri,1,0.50
1128,1,2019,Arkansas,29,7.12
1129,1,2019,Missouri,2,1.23
1131,1,2019,,1,0.05
1132,1,2019,Arkansas,1,0.48
1133,1,2019,Missouri,1,0.07
1134,1,2019,Arkansas,2,14.18
1137,8,2019,Missouri,2,15.37
1141,8,2019,Missouri,46,155.93
1143,8,2019,Arkansas,29,33.33
1144,8,2019,Missouri,17,36.63
1146,8,2019,Arkansas,7,12.17
1147,8,2019,Arkansas,3,8.58
1148,8,2019,Arkansas,17,11.17
1149,8,2019,Arkansas,8,7.27
1150,8,2019,Arkansas,25,96.60
1151,8,2019,Oklahoma,1,3.60
1152,8,2019,Arkansas,24,21.97
1153,8,2019,Arkansas,38,26.70
1154,8,2019,Arkansas,24,118.20
1155,8,2019,Missouri,1,0.18
1156,8,2019,Arkansas,12,26.40
1157,8,2019,Arkansas,24,36.00
1158,7,2019,Arkansas,10,4.23
1159,7,2019,Arkansas,2,2.22
1160,7,2019,Arkansas,7,6.18
1161,7,2019,Arkansas,7,7.63
1162,7,2019,Arkansas,6,8.38
1163,7,2019,,3,3.37
1164,7,2019,Oklahoma,13,15.13
1165,7,2019,Arkansas,3,58.18
1166,7,2019,Oklahoma,5,2.83
1167,7,2019,Oklahoma,8,3.65
1168,7,2019,Missouri,22,4.97
1172,7,2019,Oklahoma,21,56.30
1173,7,2019,Arkansas,3,1.57
1174,6,2019,Oklahoma,14,98.42
1175,6,2019,Missouri,4,3.67
1176,6,2019,Arkansas,23,22.32
1177,6,2019,,23,13.33
1179,6,2019,Missouri,2,4.95
1182,6,2019,Arkansas,52,101.52
1183,6,2019,Oklahoma,2,1.53
1184,6,2019,Missouri,2,1.63
1185,6,2019,,1,0.67
1186,6,2019,Arkansas,4,7.32
1187,6,2019,Arkansas,1,4.45
1188,6,2019,,1,12.02
1190,6,2019,Oklahoma,1,0.32
1192,6,2019,,21,25.42
1193,5,2019,Arkansas,3,6.70
1194,5,2019,Arkansas,2,1.57
1195,5,2019,Oklahoma,16,88.43
1196,5,2019,Arkansas,11,11.15
1197,5,2019,,1,4.48
1198,5,2019,,3,3.70
1199,5,2019,Arkansas,3,12.42
1200,5,2019,Oklahoma,6,3.33
1201,5,2019,Missouri,3,4.93
1202,5,2019,Arkansas,18,148.08
1203,5,2019,Missouri,1,0.48
1204,5,2019,Arkansas,21,25.12
1205,5,2019,Oklahoma,4,8.57
1206,5,2019,,7,101.12
1207,5,2019,Oklahoma,23,54.73
1208,5,2019,Arkansas,6,3.63
